name,position,roster_slot_id,salary,team,fppg,competition,draftable_id
Andrea Kimi Antonelli,D,646,19200,MERC,,Belgian Grand Prix 2026,43603700
George Russell,D,646,18600,MERC,,Belgian Grand Prix 2026,43603701
Lewis Hamilton,D,646,17700,FERR,,Belgian Grand Prix 2026,43603702
Charles Leclerc,D,646,17100,FERR,,Belgian Grand Prix 2026,43603703
Max Verstappen,D,646,15600,RB,,Belgian Grand Prix 2026,43603704
Mercedes,CNSTR,648,14500,MERC,,Belgian Grand Prix 2026,43603689
Lando Norris,D,646,13800,MCL,,Belgian Grand Prix 2026,43603705
Ferrari,CNSTR,648,13300,FERR,,Belgian Grand Prix 2026,43603690
Andrea Kimi Antonelli,D,647,12800,MERC,,Belgian Grand Prix 2026,43603667
George Russell,D,647,12400,MERC,,Belgian Grand Prix 2026,43603668
Oscar Piastri,D,646,12300,MCL,,Belgian Grand Prix 2026,43603706
Lewis Hamilton,D,647,11800,FERR,,Belgian Grand Prix 2026,43603669
Charles Leclerc,D,647,11400,FERR,,Belgian Grand Prix 2026,43603670
Isack Hadjar,D,646,11100,RB,,Belgian Grand Prix 2026,43603707
Max Verstappen,D,647,10400,RB,,Belgian Grand Prix 2026,43603671
McLaren,CNSTR,648,9800,MCL,,Belgian Grand Prix 2026,43603691
Liam Lawson,D,646,9600,VCARB,,Belgian Grand Prix 2026,43603708
Lando Norris,D,647,9200,MCL,,Belgian Grand Prix 2026,43603672
Pierre Gasly,D,646,8700,ALPN,,Belgian Grand Prix 2026,43603709
Red Bull Racing,CNSTR,648,8500,RB,,Belgian Grand Prix 2026,43603692
Oscar Piastri,D,647,8200,MCL,,Belgian Grand Prix 2026,43603673
Arvid Lindblad,D,646,8100,VCARB,,Belgian Grand Prix 2026,43603710
Oliver Bearman,D,646,7500,HAAS,,Belgian Grand Prix 2026,43603711
Isack Hadjar,D,647,7400,RB,,Belgian Grand Prix 2026,43603674
Franco Colapinto,D,646,7200,ALPN,,Belgian Grand Prix 2026,43603712
Gabriel Bortoleto,D,646,6900,AUD,,Belgian Grand Prix 2026,43603713
Carlos Sainz Jr.,D,646,6600,WILL,,Belgian Grand Prix 2026,43603714
Liam Lawson,D,647,6400,VCARB,,Belgian Grand Prix 2026,43603675
Nico Hulkenberg,D,646,6300,AUD,,Belgian Grand Prix 2026,43603715
Esteban Ocon,D,646,6000,HAAS,,Belgian Grand Prix 2026,43603716
Pierre Gasly,D,647,5800,ALPN,,Belgian Grand Prix 2026,43603676
Alexander Albon,D,646,5700,WILL,,Belgian Grand Prix 2026,43603717
Arvid Lindblad,D,647,5400,VCARB,,Belgian Grand Prix 2026,43603677
Sergio Perez,D,646,5400,CAD,,Belgian Grand Prix 2026,43603718
Fernando Alonso,D,646,5100,AM,,Belgian Grand Prix 2026,43603719
Oliver Bearman,D,647,5000,HAAS,,Belgian Grand Prix 2026,43603678
Franco Colapinto,D,647,4800,ALPN,,Belgian Grand Prix 2026,43603679
Valtteri Bottas,D,646,4800,CAD,,Belgian Grand Prix 2026,43603720
Gabriel Bortoleto,D,647,4600,AUD,,Belgian Grand Prix 2026,43603680
Lance Stroll,D,646,4500,AM,,Belgian Grand Prix 2026,43603721
Carlos Sainz Jr.,D,647,4400,WILL,,Belgian Grand Prix 2026,43603681
Nico Hulkenberg,D,647,4200,AUD,,Belgian Grand Prix 2026,43603682
Esteban Ocon,D,647,4000,HAAS,,Belgian Grand Prix 2026,43603683
Racing Bulls F1 Team,CNSTR,648,4000,VCARB,,Belgian Grand Prix 2026,43603693
Alexander Albon,D,647,3800,WILL,,Belgian Grand Prix 2026,43603684
Sergio Perez,D,647,3600,CAD,,Belgian Grand Prix 2026,43603685
Alpine F1 Team,CNSTR,648,3600,ALPN,,Belgian Grand Prix 2026,43603694
Fernando Alonso,D,647,3400,AM,,Belgian Grand Prix 2026,43603686
Audi F1 Team,CNSTR,648,3300,AUD,,Belgian Grand Prix 2026,43603695
Valtteri Bottas,D,647,3200,CAD,,Belgian Grand Prix 2026,43603687
Haas F1 Team,CNSTR,648,3200,HAAS,,Belgian Grand Prix 2026,43603696
Williams,CNSTR,648,3100,WILL,,Belgian Grand Prix 2026,43603697
Lance Stroll,D,647,3000,AM,,Belgian Grand Prix 2026,43603688
Cadillac,CNSTR,648,3000,CAD,,Belgian Grand Prix 2026,43603698
Aston Martin F1 Team,CNSTR,648,3000,AM,,Belgian Grand Prix 2026,43603699
