year,round,race_name,driver_id,driver_code,constructor_id,grid,finish_position,pts_finish,pts_place_diff,pts_fastest_lap,pts_classified,pts_defeated_teammate,dk_points_total
2023,1,Bahrain Grand Prix,max_verstappen,VER,red_bull,1,1,40,0,0,1,5,46
2023,1,Bahrain Grand Prix,perez,PER,red_bull,2,2,37,0,0,1,0,38
2023,1,Bahrain Grand Prix,alonso,ALO,aston_martin,5,3,35,2,0,1,5,43
2023,1,Bahrain Grand Prix,sainz,SAI,ferrari,4,4,32,0,0,1,5,38
2023,1,Bahrain Grand Prix,hamilton,HAM,mercedes,7,5,30,2,0,1,5,38
2023,1,Bahrain Grand Prix,stroll,STR,aston_martin,8,6,27,2,0,1,0,30
2023,1,Bahrain Grand Prix,russell,RUS,mercedes,6,7,25,-1,0,1,0,25
2023,1,Bahrain Grand Prix,bottas,BOT,alfa,12,8,23,4,0,1,5,33
2023,1,Bahrain Grand Prix,gasly,GAS,alpine,20,9,22,11,0,1,5,39
2023,1,Bahrain Grand Prix,albon,ALB,williams,15,10,20,5,0,1,5,31
2023,1,Bahrain Grand Prix,tsunoda,TSU,alphatauri,14,11,17,3,0,1,5,26
2023,1,Bahrain Grand Prix,sargeant,SAR,williams,16,12,15,4,0,1,0,20
2023,1,Bahrain Grand Prix,kevin_magnussen,MAG,haas,17,13,13,4,0,1,5,23
2023,1,Bahrain Grand Prix,de_vries,DEV,alphatauri,19,14,12,5,0,1,0,18
2023,1,Bahrain Grand Prix,hulkenberg,HUL,haas,10,15,10,-5,0,1,0,6
2023,1,Bahrain Grand Prix,zhou,ZHO,alfa,13,16,7,-3,3,1,0,8
2023,1,Bahrain Grand Prix,norris,NOR,mclaren,11,17,5,-6,0,1,5,5
2023,1,Bahrain Grand Prix,ocon,OCO,alpine,9,18,4,-9,0,0,0,-5
2023,1,Bahrain Grand Prix,leclerc,LEC,ferrari,3,19,3,-16,0,0,0,-13
2023,1,Bahrain Grand Prix,piastri,PIA,mclaren,18,20,2,-2,0,0,0,0
2023,2,Saudi Arabian Grand Prix,perez,PER,red_bull,1,1,40,0,0,1,5,46
2023,2,Saudi Arabian Grand Prix,max_verstappen,VER,red_bull,15,2,37,13,3,1,0,54
2023,2,Saudi Arabian Grand Prix,alonso,ALO,aston_martin,2,3,35,-1,0,1,5,40
2023,2,Saudi Arabian Grand Prix,russell,RUS,mercedes,3,4,32,-1,0,1,5,37
2023,2,Saudi Arabian Grand Prix,hamilton,HAM,mercedes,7,5,30,2,0,1,0,33
2023,2,Saudi Arabian Grand Prix,sainz,SAI,ferrari,4,6,27,-2,0,1,5,31
2023,2,Saudi Arabian Grand Prix,leclerc,LEC,ferrari,12,7,25,5,0,1,0,31
2023,2,Saudi Arabian Grand Prix,ocon,OCO,alpine,6,8,23,-2,0,1,5,27
2023,2,Saudi Arabian Grand Prix,gasly,GAS,alpine,9,9,22,0,0,1,0,23
2023,2,Saudi Arabian Grand Prix,kevin_magnussen,MAG,haas,13,10,20,3,0,1,5,29
2023,2,Saudi Arabian Grand Prix,tsunoda,TSU,alphatauri,16,11,17,5,0,1,5,28
2023,2,Saudi Arabian Grand Prix,hulkenberg,HUL,haas,10,12,15,-2,0,1,0,14
2023,2,Saudi Arabian Grand Prix,zhou,ZHO,alfa,11,13,13,-2,0,1,5,17
2023,2,Saudi Arabian Grand Prix,de_vries,DEV,alphatauri,18,14,12,4,0,1,0,17
2023,2,Saudi Arabian Grand Prix,piastri,PIA,mclaren,8,15,10,-7,0,1,5,9
2023,2,Saudi Arabian Grand Prix,sargeant,SAR,williams,20,16,7,4,0,1,5,17
2023,2,Saudi Arabian Grand Prix,norris,NOR,mclaren,19,17,5,2,0,1,0,8
2023,2,Saudi Arabian Grand Prix,bottas,BOT,alfa,14,18,4,-4,0,1,0,1
2023,2,Saudi Arabian Grand Prix,albon,ALB,williams,17,19,3,-2,0,0,0,1
2023,2,Saudi Arabian Grand Prix,stroll,STR,aston_martin,5,20,2,-15,0,0,0,-13
2023,3,Australian Grand Prix,max_verstappen,VER,red_bull,1,1,40,0,0,1,5,46
2023,3,Australian Grand Prix,hamilton,HAM,mercedes,3,2,37,1,0,1,5,44
2023,3,Australian Grand Prix,alonso,ALO,aston_martin,4,3,35,1,0,1,5,42
2023,3,Australian Grand Prix,stroll,STR,aston_martin,6,4,32,2,0,1,0,35
2023,3,Australian Grand Prix,perez,PER,red_bull,20,5,30,15,3,1,0,49
2023,3,Australian Grand Prix,norris,NOR,mclaren,13,6,27,7,0,1,5,40
2023,3,Australian Grand Prix,hulkenberg,HUL,haas,10,7,25,3,0,1,5,34
2023,3,Australian Grand Prix,piastri,PIA,mclaren,16,8,23,8,0,1,0,32
2023,3,Australian Grand Prix,zhou,ZHO,alfa,17,9,22,8,0,1,5,36
2023,3,Australian Grand Prix,tsunoda,TSU,alphatauri,12,10,20,2,0,1,5,28
2023,3,Australian Grand Prix,bottas,BOT,alfa,19,11,17,8,0,1,0,26
2023,3,Australian Grand Prix,sainz,SAI,ferrari,5,12,15,-7,0,1,5,14
2023,3,Australian Grand Prix,gasly,GAS,alpine,9,13,13,-4,0,1,5,15
2023,3,Australian Grand Prix,ocon,OCO,alpine,11,14,12,-3,0,1,0,10
2023,3,Australian Grand Prix,de_vries,DEV,alphatauri,15,15,10,0,0,1,0,11
2023,3,Australian Grand Prix,sargeant,SAR,williams,18,16,7,2,0,1,5,15
2023,3,Australian Grand Prix,kevin_magnussen,MAG,haas,14,17,5,-3,0,0,0,2
2023,3,Australian Grand Prix,russell,RUS,mercedes,2,18,4,-16,0,0,0,-12
2023,3,Australian Grand Prix,albon,ALB,williams,8,19,3,-11,0,0,0,-8
2023,3,Australian Grand Prix,leclerc,LEC,ferrari,7,20,2,-13,0,0,0,-11
2023,4,Azerbaijan Grand Prix,perez,PER,red_bull,3,1,40,2,0,1,5,48
2023,4,Azerbaijan Grand Prix,max_verstappen,VER,red_bull,2,2,37,0,0,1,0,38
2023,4,Azerbaijan Grand Prix,leclerc,LEC,ferrari,1,3,35,-2,0,1,5,39
2023,4,Azerbaijan Grand Prix,alonso,ALO,aston_martin,6,4,32,2,0,1,5,40
2023,4,Azerbaijan Grand Prix,sainz,SAI,ferrari,4,5,30,-1,0,1,0,30
2023,4,Azerbaijan Grand Prix,hamilton,HAM,mercedes,5,6,27,-1,0,1,5,32
2023,4,Azerbaijan Grand Prix,stroll,STR,aston_martin,9,7,25,2,0,1,0,28
2023,4,Azerbaijan Grand Prix,russell,RUS,mercedes,11,8,23,3,3,1,0,30
2023,4,Azerbaijan Grand Prix,norris,NOR,mclaren,7,9,22,-2,0,1,5,26
2023,4,Azerbaijan Grand Prix,tsunoda,TSU,alphatauri,8,10,20,-2,0,1,5,24
2023,4,Azerbaijan Grand Prix,piastri,PIA,mclaren,10,11,17,-1,0,1,0,17
2023,4,Azerbaijan Grand Prix,albon,ALB,williams,12,12,15,0,0,1,5,21
2023,4,Azerbaijan Grand Prix,kevin_magnussen,MAG,haas,16,13,13,3,0,1,5,22
2023,4,Azerbaijan Grand Prix,gasly,GAS,alpine,17,14,12,3,0,1,5,21
2023,4,Azerbaijan Grand Prix,ocon,OCO,alpine,19,15,10,4,0,1,0,15
2023,4,Azerbaijan Grand Prix,sargeant,SAR,williams,14,16,7,-2,0,1,0,6
2023,4,Azerbaijan Grand Prix,hulkenberg,HUL,haas,20,17,5,3,0,1,0,9
2023,4,Azerbaijan Grand Prix,bottas,BOT,alfa,13,18,4,-5,0,1,5,5
2023,4,Azerbaijan Grand Prix,zhou,ZHO,alfa,15,19,3,-4,0,0,0,-1
2023,4,Azerbaijan Grand Prix,de_vries,DEV,alphatauri,18,20,2,-2,0,0,0,0
2023,5,Miami Grand Prix,max_verstappen,VER,red_bull,9,1,40,8,3,1,5,57
2023,5,Miami Grand Prix,perez,PER,red_bull,1,2,37,-1,0,1,0,37
2023,5,Miami Grand Prix,alonso,ALO,aston_martin,2,3,35,-1,0,1,5,40
2023,5,Miami Grand Prix,russell,RUS,mercedes,6,4,32,2,0,1,5,40
2023,5,Miami Grand Prix,sainz,SAI,ferrari,3,5,30,-2,0,1,5,34
2023,5,Miami Grand Prix,hamilton,HAM,mercedes,13,6,27,7,0,1,0,35
2023,5,Miami Grand Prix,leclerc,LEC,ferrari,7,7,25,0,0,1,0,26
2023,5,Miami Grand Prix,gasly,GAS,alpine,5,8,23,-3,0,1,5,26
2023,5,Miami Grand Prix,ocon,OCO,alpine,8,9,22,-1,0,1,0,22
2023,5,Miami Grand Prix,kevin_magnussen,MAG,haas,4,10,20,-6,0,1,5,20
2023,5,Miami Grand Prix,tsunoda,TSU,alphatauri,17,11,17,6,0,1,5,29
2023,5,Miami Grand Prix,stroll,STR,aston_martin,18,12,15,6,0,1,0,22
2023,5,Miami Grand Prix,bottas,BOT,alfa,10,13,13,-3,0,1,5,16
2023,5,Miami Grand Prix,albon,ALB,williams,11,14,12,-3,0,1,5,15
2023,5,Miami Grand Prix,hulkenberg,HUL,haas,12,15,10,-3,0,1,0,8
2023,5,Miami Grand Prix,zhou,ZHO,alfa,14,16,7,-2,0,1,0,6
2023,5,Miami Grand Prix,norris,NOR,mclaren,16,17,5,-1,0,1,5,10
2023,5,Miami Grand Prix,de_vries,DEV,alphatauri,15,18,4,-3,0,1,0,2
2023,5,Miami Grand Prix,piastri,PIA,mclaren,19,19,3,0,0,1,0,4
2023,5,Miami Grand Prix,sargeant,SAR,williams,20,20,2,0,0,1,0,3
2023,6,Monaco Grand Prix,max_verstappen,VER,red_bull,1,1,40,0,0,1,5,46
2023,6,Monaco Grand Prix,alonso,ALO,aston_martin,2,2,37,0,0,1,5,43
2023,6,Monaco Grand Prix,ocon,OCO,alpine,3,3,35,0,0,1,5,41
2023,6,Monaco Grand Prix,hamilton,HAM,mercedes,5,4,32,1,3,1,5,42
2023,6,Monaco Grand Prix,russell,RUS,mercedes,8,5,30,3,0,1,0,34
2023,6,Monaco Grand Prix,leclerc,LEC,ferrari,6,6,27,0,0,1,5,33
2023,6,Monaco Grand Prix,gasly,GAS,alpine,7,7,25,0,0,1,0,26
2023,6,Monaco Grand Prix,sainz,SAI,ferrari,4,8,23,-4,0,1,0,20
2023,6,Monaco Grand Prix,norris,NOR,mclaren,10,9,22,1,0,1,5,29
2023,6,Monaco Grand Prix,piastri,PIA,mclaren,11,10,20,1,0,1,0,22
2023,6,Monaco Grand Prix,bottas,BOT,alfa,15,11,17,4,0,1,5,27
2023,6,Monaco Grand Prix,de_vries,DEV,alphatauri,12,12,15,0,0,1,5,21
2023,6,Monaco Grand Prix,zhou,ZHO,alfa,19,13,13,6,0,1,0,20
2023,6,Monaco Grand Prix,albon,ALB,williams,13,14,12,-1,0,1,5,17
2023,6,Monaco Grand Prix,tsunoda,TSU,alphatauri,9,15,10,-6,0,1,0,5
2023,6,Monaco Grand Prix,perez,PER,red_bull,20,16,7,4,0,1,0,12
2023,6,Monaco Grand Prix,hulkenberg,HUL,haas,18,17,5,1,0,1,5,12
2023,6,Monaco Grand Prix,sargeant,SAR,williams,16,18,4,-2,0,1,0,3
2023,6,Monaco Grand Prix,kevin_magnussen,MAG,haas,17,19,3,-2,0,0,0,1
2023,6,Monaco Grand Prix,stroll,STR,aston_martin,14,20,2,-6,0,0,0,-4
2023,7,Spanish Grand Prix,max_verstappen,VER,red_bull,1,1,40,0,3,1,5,49
2023,7,Spanish Grand Prix,hamilton,HAM,mercedes,4,2,37,2,0,1,5,45
2023,7,Spanish Grand Prix,russell,RUS,mercedes,12,3,35,9,0,1,0,45
2023,7,Spanish Grand Prix,perez,PER,red_bull,11,4,32,7,0,1,0,40
2023,7,Spanish Grand Prix,sainz,SAI,ferrari,2,5,30,-3,0,1,5,33
2023,7,Spanish Grand Prix,stroll,STR,aston_martin,5,6,27,-1,0,1,5,32
2023,7,Spanish Grand Prix,alonso,ALO,aston_martin,8,7,25,1,0,1,0,27
2023,7,Spanish Grand Prix,ocon,OCO,alpine,6,8,23,-2,0,1,5,27
2023,7,Spanish Grand Prix,zhou,ZHO,alfa,13,9,22,4,0,1,5,32
2023,7,Spanish Grand Prix,gasly,GAS,alpine,10,10,20,0,0,1,0,21
2023,7,Spanish Grand Prix,leclerc,LEC,ferrari,19,11,17,8,0,1,0,26
2023,7,Spanish Grand Prix,tsunoda,TSU,alphatauri,15,12,15,3,0,1,5,24
2023,7,Spanish Grand Prix,piastri,PIA,mclaren,9,13,13,-4,0,1,5,15
2023,7,Spanish Grand Prix,de_vries,DEV,alphatauri,14,14,12,0,0,1,0,13
2023,7,Spanish Grand Prix,hulkenberg,HUL,haas,7,15,10,-8,0,1,5,8
2023,7,Spanish Grand Prix,albon,ALB,williams,18,16,7,2,0,1,5,15
2023,7,Spanish Grand Prix,norris,NOR,mclaren,3,17,5,-14,0,1,0,-8
2023,7,Spanish Grand Prix,kevin_magnussen,MAG,haas,17,18,4,-1,0,1,0,4
2023,7,Spanish Grand Prix,bottas,BOT,alfa,16,19,3,-3,0,1,0,1
2023,7,Spanish Grand Prix,sargeant,SAR,williams,20,20,2,0,0,1,0,3
2023,8,Canadian Grand Prix,max_verstappen,VER,red_bull,1,1,40,0,0,1,5,46
2023,8,Canadian Grand Prix,alonso,ALO,aston_martin,2,2,37,0,0,1,5,43
