year,round,driver_id,constructor_id,quali_position,q1,q2,q3
2023,1,max_verstappen,red_bull,1,1:31.295,1:30.503,1:29.708
2023,1,perez,red_bull,2,1:31.479,1:30.746,1:29.846
2023,1,leclerc,ferrari,3,1:31.094,1:30.282,1:30.000
2023,1,sainz,ferrari,4,1:30.993,1:30.515,1:30.154
2023,1,alonso,aston_martin,5,1:31.158,1:30.645,1:30.336
2023,1,russell,mercedes,6,1:31.057,1:30.507,1:30.340
2023,1,hamilton,mercedes,7,1:31.543,1:30.513,1:30.384
2023,1,stroll,aston_martin,8,1:31.184,1:31.127,1:30.836
2023,1,ocon,alpine,9,1:31.508,1:30.914,1:30.984
2023,1,hulkenberg,haas,10,1:31.204,1:30.809,
2023,1,norris,mclaren,11,1:31.652,1:31.381,
2023,1,bottas,alfa,12,1:31.504,1:31.443,
2023,1,zhou,alfa,13,1:31.615,1:31.473,
2023,1,tsunoda,alphatauri,14,1:31.400,1:32.510,
2023,1,albon,williams,15,1:31.461,,
2023,1,sargeant,williams,16,1:31.652,,
2023,1,kevin_magnussen,haas,17,1:31.892,,
2023,1,piastri,mclaren,18,1:32.101,,
2023,1,de_vries,alphatauri,19,1:32.121,,
2023,1,gasly,alpine,20,1:32.181,,
2023,2,perez,red_bull,1,1:29.244,1:28.635,1:28.265
2023,2,leclerc,ferrari,2,1:29.376,1:28.903,1:28.420
2023,2,alonso,aston_martin,3,1:29.298,1:28.757,1:28.730
2023,2,russell,mercedes,4,1:29.592,1:29.132,1:28.857
2023,2,sainz,ferrari,5,1:29.411,1:28.957,1:28.931
2023,2,stroll,aston_martin,6,1:29.335,1:28.962,1:28.945
2023,2,ocon,alpine,7,1:29.707,1:29.255,1:29.078
2023,2,hamilton,mercedes,8,1:29.689,1:29.374,1:29.223
2023,2,piastri,mclaren,9,1:29.706,1:29.378,1:29.243
2023,2,gasly,alpine,10,1:29.890,1:29.411,1:29.357
2023,2,hulkenberg,haas,11,1:29.547,1:29.451,
2023,2,zhou,alfa,12,1:29.654,1:29.461,
2023,2,kevin_magnussen,haas,13,1:29.744,1:29.634,
2023,2,bottas,alfa,14,1:29.929,1:29.668,
2023,2,max_verstappen,red_bull,15,1:28.761,1:49.953,
2023,2,tsunoda,alphatauri,16,1:29.939,,
2023,2,albon,williams,17,1:29.994,,
2023,2,de_vries,alphatauri,18,1:30.244,,
2023,2,norris,mclaren,19,1:30.447,,
2023,2,sargeant,williams,20,2:08.510,,
2023,3,max_verstappen,red_bull,1,1:17.384,1:17.056,1:16.732
2023,3,russell,mercedes,2,1:17.654,1:17.513,1:16.968
2023,3,hamilton,mercedes,3,1:17.689,1:17.551,1:17.104
2023,3,alonso,aston_martin,4,1:17.832,1:17.283,1:17.139
2023,3,sainz,ferrari,5,1:17.928,1:17.349,1:17.270
2023,3,stroll,aston_martin,6,1:17.873,1:17.616,1:17.308
2023,3,leclerc,ferrari,7,1:18.218,1:17.390,1:17.369
2023,3,albon,williams,8,1:17.962,1:17.761,1:17.609
2023,3,gasly,alpine,9,1:18.312,1:17.574,1:17.675
2023,3,hulkenberg,haas,10,1:18.029,1:17.412,1:17.735
2023,3,ocon,alpine,11,1:17.770,1:17.768,
2023,3,tsunoda,alphatauri,12,1:18.471,1:18.099,
2023,3,norris,mclaren,13,1:18.243,1:18.119,
2023,3,kevin_magnussen,haas,14,1:18.159,1:18.129,
2023,3,de_vries,alphatauri,15,1:18.450,1:18.335,
2023,3,piastri,mclaren,16,1:18.517,,
2023,3,zhou,alfa,17,1:18.540,,
2023,3,sargeant,williams,18,1:18.557,,
2023,3,bottas,alfa,19,1:18.714,,
2023,3,perez,red_bull,20,,,
2023,4,leclerc,ferrari,1,1:41.269,1:41.037,1:40.203
2023,4,max_verstappen,red_bull,2,1:41.398,1:40.822,1:40.391
2023,4,perez,red_bull,3,1:41.756,1:41.131,1:40.495
2023,4,sainz,ferrari,4,1:42.197,1:41.369,1:41.016
2023,4,hamilton,mercedes,5,1:42.113,1:41.650,1:41.177
2023,4,alonso,aston_martin,6,1:41.720,1:41.370,1:41.253
2023,4,norris,mclaren,7,1:42.154,1:41.485,1:41.281
2023,4,tsunoda,alphatauri,8,1:42.234,1:41.569,1:41.581
2023,4,stroll,aston_martin,9,1:42.524,1:41.576,1:41.611
2023,4,piastri,mclaren,10,1:42.455,1:41.636,1:41.611
2023,4,russell,mercedes,11,1:42.073,1:41.654,
2023,4,ocon,alpine,12,1:42.622,1:41.798,
2023,4,albon,williams,13,1:42.171,1:41.818,
2023,4,bottas,alfa,14,1:42.582,1:42.259,
2023,4,sargeant,williams,15,1:42.242,1:42.395,
2023,4,zhou,alfa,16,1:42.642,,
2023,4,hulkenberg,haas,17,1:42.755,,
2023,4,kevin_magnussen,haas,18,1:43.417,,
2023,4,gasly,alpine,19,1:44.853,,
2023,4,de_vries,alphatauri,20,1:55.282,,
2023,5,perez,red_bull,1,1:27.713,1:27.328,1:26.841
2023,5,alonso,aston_martin,2,1:28.179,1:27.097,1:27.202
2023,5,sainz,ferrari,3,1:27.686,1:27.148,1:27.349
2023,5,kevin_magnussen,haas,4,1:27.809,1:27.673,1:27.767
2023,5,gasly,alpine,5,1:28.061,1:27.612,1:27.786
2023,5,russell,mercedes,6,1:28.086,1:27.743,1:27.804
2023,5,leclerc,ferrari,7,1:27.713,1:26.964,1:27.861
2023,5,ocon,alpine,8,1:27.872,1:27.444,1:27.935
2023,5,max_verstappen,red_bull,9,1:27.363,1:26.814,
2023,5,bottas,alfa,10,1:27.864,1:27.564,
2023,5,albon,williams,11,1:28.234,1:27.795,
2023,5,hulkenberg,haas,12,1:27.945,1:27.903,
2023,5,hamilton,mercedes,13,1:27.846,1:27.975,
2023,5,zhou,alfa,14,1:28.180,1:28.091,
2023,5,de_vries,alphatauri,15,1:28.325,1:28.395,
2023,5,norris,mclaren,16,1:28.394,,
2023,5,tsunoda,alphatauri,17,1:28.429,,
2023,5,stroll,aston_martin,18,1:28.476,,
2023,5,piastri,mclaren,19,1:28.484,,
2023,5,sargeant,williams,20,1:28.577,,
2023,6,max_verstappen,red_bull,1,1:12.386,1:11.908,1:11.365
2023,6,alonso,aston_martin,2,1:12.886,1:12.107,1:11.449
2023,6,leclerc,ferrari,3,1:12.912,1:12.103,1:11.471
