year,round,race_name,circuit_id,date,driver_id,driver_code,constructor_id,grid,finish_position,position_text,status,laps,points_f1,fastest_lap_rank
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,max_verstappen,VER,red_bull,1,1,1,Finished,57,25.0,6
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,perez,PER,red_bull,2,2,2,Finished,57,18.0,7
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,alonso,ALO,aston_martin,5,3,3,Finished,57,15.0,5
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,sainz,SAI,ferrari,4,4,4,Finished,57,12.0,14
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,hamilton,HAM,mercedes,7,5,5,Finished,57,10.0,10
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,stroll,STR,aston_martin,8,6,6,Finished,57,8.0,9
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,russell,RUS,mercedes,6,7,7,Finished,57,6.0,17
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,bottas,BOT,alfa,12,8,8,Finished,57,4.0,18
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,gasly,GAS,alpine,20,9,9,Finished,57,2.0,2
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,albon,ALB,williams,15,10,10,Finished,57,1.0,15
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,tsunoda,TSU,alphatauri,14,11,11,Finished,57,0.0,12
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,sargeant,SAR,williams,16,12,12,Lapped,56,0.0,4
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,kevin_magnussen,MAG,haas,17,13,13,Lapped,56,0.0,8
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,de_vries,DEV,alphatauri,19,14,14,Lapped,56,0.0,19
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,hulkenberg,HUL,haas,10,15,15,Lapped,56,0.0,11
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,zhou,ZHO,alfa,13,16,16,Lapped,56,0.0,1
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,norris,NOR,mclaren,11,17,17,Lapped,55,0.0,3
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,ocon,OCO,alpine,9,18,R,Retired,41,0.0,13
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,leclerc,LEC,ferrari,3,19,R,Retired,39,0.0,16
2023,1,Bahrain Grand Prix,bahrain,2023-03-05,piastri,PIA,mclaren,18,20,R,Retired,13,0.0,20
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,perez,PER,red_bull,1,1,1,Finished,50,25.0,2
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,max_verstappen,VER,red_bull,15,2,2,Finished,50,19.0,1
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,alonso,ALO,aston_martin,2,3,3,Finished,50,15.0,3
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,russell,RUS,mercedes,3,4,4,Finished,50,12.0,4
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,hamilton,HAM,mercedes,7,5,5,Finished,50,10.0,6
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,sainz,SAI,ferrari,4,6,6,Finished,50,8.0,5
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,leclerc,LEC,ferrari,12,7,7,Finished,50,6.0,7
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,ocon,OCO,alpine,6,8,8,Finished,50,4.0,8
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,gasly,GAS,alpine,9,9,9,Finished,50,2.0,10
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,kevin_magnussen,MAG,haas,13,10,10,Finished,50,1.0,9
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,tsunoda,TSU,alphatauri,16,11,11,Finished,50,0.0,14
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,hulkenberg,HUL,haas,10,12,12,Finished,50,0.0,12
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,zhou,ZHO,alfa,11,13,13,Finished,50,0.0,13
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,de_vries,DEV,alphatauri,18,14,14,Finished,50,0.0,11
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,piastri,PIA,mclaren,8,15,15,Finished,50,0.0,16
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,sargeant,SAR,williams,20,16,16,Finished,50,0.0,18
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,norris,NOR,mclaren,19,17,17,Finished,50,0.0,15
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,bottas,BOT,alfa,14,18,18,Lapped,49,0.0,17
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,albon,ALB,williams,17,19,R,Retired,27,0.0,20
2023,2,Saudi Arabian Grand Prix,jeddah,2023-03-19,stroll,STR,aston_martin,5,20,R,Retired,16,0.0,19
